METHODES;Genre;EPITHETE;CIRCONFERENCE EN CM;DIAMETRE EN CM;Altitude en m;groupe;espece;Height;volume_en_m3;BasalArea;WoodDensity;Superficie_ha
P2;Hagenia;abyssinica;54;17,19745223;2450;Placeau;Hagenia abyssinica;8,19;187,47;0,02;0,57;2
P2;Hagenia;abyssinica;53;16,87898089;2450;Placeau;Hagenia abyssinica;8,09;178,39;0,02;0,57;2
P2;Hagenia;abyssinica;58;18,47133758;2450;Placeau;Hagenia abyssinica;8,53;225,26;0,03;0,57;2
P2;Hagenia;abyssinica;50;15,92356688;2450;Placeau;Hagenia abyssinica;7,8;153,08;0,02;0,57;2
P2;Hagenia;abyssinica;61;19,42675159;2450;Placeau;Hagenia abyssinica;8,77;256,17;0,03;0,57;2
P2;Hagenia;abyssinica;41;13,05732484;2450;Placeau;Hagenia abyssinica;6,74;88,94;0,01;0,57;2
P2;Hagenia;abyssinica;63;20,06369427;2450;Placeau;Hagenia abyssinica;8,92;277,92;0,03;0,57;2
P2;Hagenia;abyssinica;78;24,84076433;2450;Placeau;Hagenia abyssinica;9,83;469,47;0,05;0,57;2
P2;Hagenia;abyssinica;53;16,87898089;2450;Placeau;Hagenia abyssinica;8,09;178,39;0,02;0,57;2
P2;Hagenia;abyssinica;128;40,76433121;2450;Placeau;Hagenia abyssinica;11,55;1485,5;0,13;0,57;2
P2;Hagenia;abyssinica;61;19,42675159;2450;Placeau;Hagenia abyssinica;8,77;256,17;0,03;0,57;2
P2;Hagenia;abyssinica;62;19,74522293;2450;Placeau;Hagenia abyssinica;8,84;266,75;0,03;0,57;2
P2;Hagenia;abyssinica;71;22,61146497;2450;Placeau;Hagenia abyssinica;9,44;373,56;0,04;0,57;2
P2;Hagenia;abyssinica;52;16,56050955;2450;Placeau;Hagenia abyssinica;8;169,81;0,02;0,57;2
P2;Hagenia;abyssinica;108;34,39490446;2450;Placeau;Hagenia abyssinica;11,03;1009,93;0,09;0,57;2
